name,phone_number,email,city,category,user_id
lead_name,9999999999,email@gmail.com,Nagpur,Arts and Entertainment,0
lead_name,9999999999,email@gmail.com,Visakhapatnam,Automotive,0
lead_name,9999999999,email@gmail.com,Kanpur,Beauty and Fitness,0
lead_name,9999999999,email@gmail.com,Pune,Books and Literature,0
lead_name,9999999999,email@gmail.com,Hyderabad,Business and Industrial Markets,0
lead_name,9999999999,email@gmail.com,Kolkata,Computers and Electronics,0
lead_name,9999999999,email@gmail.com,Mumbai,Finance,0
lead_name,9999999999,email@gmail.com,Delhi,Food and Drink,0
lead_name,9999999999,email@gmail.com,Virudhunagar,Games,0
lead_name,9999999999,email@gmail.com,Viluppuram,Healthcare,0
lead_name,9999999999,email@gmail.com,Vellore,Hobbies and Leisure,0
lead_name,9999999999,email@gmail.com,Tiruvannamalai,Home and Garden,0
lead_name,9999999999,email@gmail.com,Tiruppur,Internet and Telecom,0
lead_name,9999999999,email@gmail.com,Tirunelveli,Jobs and Education,0
lead_name,9999999999,email@gmail.com,Tiruchirappalli,Law and Government,0
lead_name,9999999999,email@gmail.com,Thoothukkudi,News,0
lead_name,9999999999,email@gmail.com,Thiruvarur,Online Communities,0
lead_name,9999999999,email@gmail.com,Thiruvallur,People and Society,0
lead_name,9999999999,email@gmail.com,The Nilgiris,Pets and Animals,0
lead_name,9999999999,email@gmail.com,Theni,Property,0
lead_name,9999999999,email@gmail.com,Thanjavur,Reference,0
lead_name,9999999999,email@gmail.com,Sivaganga,Science,0
lead_name,9999999999,email@gmail.com,Salem,Shopping,0
lead_name,9999999999,email@gmail.com,Ramanathapuram,Sports,0
lead_name,9999999999,email@gmail.com,Pudukkottai,Travel,0
lead_name,9999999999,email@gmail.com,Perambalur,Other,0
